,date,name,score,score_day_1,score_day_2,score_day_3,score_day_4,score_day_5,score_day_6,score_day_7,score_day_8,score_day_9,score_day_10,score_day_11,score_day_12,score_day_13,score_day_14
246,2016-05-02,yelp,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0
248,2016-05-03,yelp,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8
250,2016-05-04,yelp,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453
252,2016-05-05,yelp,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2
254,2016-05-06,yelp,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855
256,2016-05-07,yelp,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625
258,2016-05-08,yelp,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067
365,2016-11-20,yelp,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737
368,2016-11-21,yelp,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041
371,2016-11-22,yelp,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681
374,2016-11-23,yelp,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209
377,2016-11-24,yelp,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182,0.62
380,2016-11-25,yelp,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855,0.8181818181818182
383,2016-11-26,yelp,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0,0.42857142857142855
387,2016-11-27,yelp,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091,1.0
389,2016-11-28,yelp,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0,0.09090909090909091
391,2016-11-29,yelp,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0,1.0
393,2016-11-30,yelp,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4,1.0
395,2016-12-01,yelp,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586,0.4
